symbol,company_name,market_cap_category,price,market_cap,revenue_ttm,net_income_ttm,eps_ttm,pe_ratio,forward_pe,volume,open,previous_close,beta,industry,sector,days_range_min,days_range_max,fifty_two_week_range_min,fifty_two_week_range_max
SYPR,"Sypris Solutions, Inc.",Nano-Cap,2.084,47980000.0,141470000.0,-2890000.0,-0.13,,,19650.0,,,1.07,Auto Parts,Consumer Discretionary,2.031,2.109,1.27,3.72
SER,"Serina Therapeutics, Inc.",Nano-Cap,5.09,47810000.0,3160000.0,-7350000.0,-1.28,,,63357.0,,,,Biotechnology,Healthcare,4.6,5.64,3.81,19.93
GWH,"ESS Tech, Inc.",Nano-Cap,4.01,47650000.0,6240000.0,-78870000.0,-6.75,,,328816.0,,,1.31,Electrical Equipment & Parts,Industrials,4.0,5.54,4.0,15.15
OSTX,OS Therapies Incorporated,Nano-Cap,2.23,47360000.0,,-7420000.0,-0.76,,,38540737.0,,,,Biotechnology,Healthcare,2.16,2.98,1.58,7.0
BEDU,Bright Scholar Education Holdings Limited,Nano-Cap,1.59,47260000.0,243540000.0,-137240000.0,-4.63,,,234.0,,,0.41,Education & Training Services,Consumer Staples,1.59,1.59,1.35,3.23
FBIO,"Fortress Biotech, Inc.",Nano-Cap,1.71,47200000.0,81500000.0,-57530000.0,-3.39,,,178977.0,,,1.65,Biotechnology,Healthcare,1.7,1.77,1.36,2.89
CFSB,"CFSB Bancorp, Inc.",Nano-Cap,7.53,47130000.0,7460000.0,-48.0,-0.01,,,6515.0,,,0.1,Banks - Regional,Financials,7.23,7.53,6.34,8.28
SPRU,Spruce Power Holding Corporation,Nano-Cap,2.53,47060000.0,77580000.0,-94750000.0,-5.08,,,34368.0,,,1.14,Solar,Technology,2.485,2.63,2.17,4.89
BDL,"Flanigan's Enterprises, Inc.",Nano-Cap,25.28,46990000.0,193230000.0,3300000.0,1.78,14.21,,15.0,,,0.68,Restaurants,Consumer Discretionary,25.28,25.28,23.94,29.72
FSEA,"First Seacoast Bancorp, Inc.",Nano-Cap,10.64,46920000.0,11390000.0,-8770000.0,-1.95,,,2662.0,,,0.37,Banks - Regional,Financials,10.5,10.68,8.05,11.3
LSB,"LakeShore Biopharma Co., Ltd",Nano-Cap,2.45,46750000.0,79420000.0,-60030000.0,-5.61,,,3890.0,,,0.68,Biotechnology,Healthcare,2.25,2.45,1.88,11.2
JRSH,"Jerash Holdings (US), Inc.",Nano-Cap,3.79,46600000.0,138140000.0,-3780000.0,-0.31,,12.63,36616.0,,,0.84,Apparel Manufacturing,Consumer Discretionary,3.634,3.81,2.68,4.17
PVL,Permianville Royalty Trust,Nano-Cap,1.41,46530000.0,3140000.0,6690000.0,0.2,6.96,,91353.0,,,0.91,Oil & Gas Exploration & Production,Energy,1.39,1.44,1.03,1.96
TCBS,"Texas Community Bancshares, Inc.",Nano-Cap,15.99,46460000.0,9860000.0,-2150000.0,-0.73,,,2442.0,,,0.0,Banks - Regional,Financials,15.6,15.99,13.11,16.49
WCT,Wellchange Holdings Company Limited,Nano-Cap,2.18,46360000.0,2370000.0,923.188,0.05,47.23,,9759389.0,,,,Software - Application,Technology,2.046,2.4,0.94,9.36
MGLD,"The Marygold Companies, Inc.",Nano-Cap,1.1,46360000.0,32060000.000000004,-5580000.0,-0.14,,,141866.0,,,0.71,Asset Management,Financials,1.01,1.155,0.82,2.1
ANGH,Anghami Inc.,Nano-Cap,0.69,46110000.0,52270000.0,-31530000.0,-0.84,,,13857.0,,,1.42,Entertainment,Communication Services,0.665,0.718,0.62,2.27
BODI,"The Beachbody Company, Inc.",Nano-Cap,6.65,46040000.0,451430000.0,-102120000.0,-15.29,,,2410.0,,,1.18,Internet Content & Information,Communication Services,6.65,6.93,5.14,11.31
FORL,Four Leaf Acquisition Corporation,Nano-Cap,11.26,45920000.0,,574.872,0.1,118.35,,529.0,,,,Shell Companies,Financials,11.25,11.26,10.61,11.29
DWSN,Dawson Geophysical Company,Nano-Cap,1.48,45860000.0,82780000.0,-5420000.0,-0.18,,,6606.0,,,0.74,Oil & Gas Equipment & Services,Energy,1.4,1.48,1.14,2.22
IZEA,"IZEA Worldwide, Inc.",Nano-Cap,2.7,45810000.0,33770000.0,-15760000.0,-0.9,,,25224.0,,,1.61,Internet Content & Information,Communication Services,2.5,2.73,1.83,3.6
NKLA,Nikola Corporation,Nano-Cap,0.542,45740000.0,75530000.0,-634770000.0,-14.25,,,14861447.0,,,1.96,Farm & Heavy Construction Machinery,Industrials,0.539,0.64,0.43,34.5
OVID,Ovid Therapeutics Inc.,Nano-Cap,0.644,45720000.0,631.695,-32500000.0,-0.46,,,280639.0,,,0.3,Biotechnology,Healthcare,0.632,0.655,0.571,3.85
GTI,Graphjet Technology,Nano-Cap,0.31,45710000.0,,-15070000.0,-0.34,,,784960.0,,,0.03,Other Industrial Metals & Mining,Materials,0.3,0.32,0.185,14.0
SWVL,Swvl Holdings Corp.,Nano-Cap,4.95,45510000.0,19800000.0,-4710000.0,-0.61,,,5995.0,,,0.61,Software - Application,Technology,4.95,5.14,2.55,21.94
TORO,Toro Corp.,Nano-Cap,2.66,45470000.0,80630000.0,43570000.0,0.99,0.94,,19078.0,,,,Marine Shipping,Industrials,2.64,2.8,2.25,6.45
ZEPP,Zepp Health Corporation,Nano-Cap,3.03,45430000.0,208950000.0,-39360000.0,-2.5,,,12257.0,,,0.68,Consumer Electronics,Technology,2.89,3.04,2.06,5.26
GBIO,Generation Bio Co.,Nano-Cap,0.68,45420000.0,18580000.0,-145470000.0,-2.19,,,315027.0,,,2.69,Biotechnology,Healthcare,0.661,0.73,0.603,4.65
ZBAO,Zhibao Technology Inc.,Nano-Cap,1.43,45080000.0,25270000.0,1820000.0,0.06,23.81,,14449.0,,,,Insurance Brokers,Financials,1.3,1.48,1.21,5.7
MESA,"Mesa Air Group, Inc.",Nano-Cap,1.09,45030000.0,475520000.0,-94440000.0,-2.3,,,508291.0,,,3.09,Airlines,Industrials,1.02,1.16,0.75,1.89
ICCC,ImmuCell Corporation,Nano-Cap,5.05,45000000.0,23840000.0,-3810000.0,-0.49,,,5659.0,,,0.55,Biotechnology,Healthcare,4.95,5.13,3.34,5.82
ICMB,"Investcorp Credit Management BDC, Inc.",Nano-Cap,3.115,44880000.0,24830000.0,4200000.0,0.29,10.68,7.08,27401.0,,,1.74,Asset Management,Financials,3.1,3.14,2.91,3.673
TACT,TransAct Technologies Incorporated,Nano-Cap,4.48,44850000.0,46420000.0,-1970000.0,-0.2,,,2066.0,,,1.73,Computer Hardware,Technology,4.415,4.48,3.32,7.38
